experiment,tag,population,model,features,label,split,fold,region,n,n_pos,prevalence,roc_auc,ap,auc_ci95,ap_ci95,brier,ece,logloss,thr_valmaxF1,precision,recall_sensitivity,specificity,f1,train_rows,fit_sec,date
trackA,RF_v2_slopezt,forest,RF,v2_57_slopezt,y_all,v2 random 65/15/20 stratified rs42,,,238859,53481,0.22390196726939324,0.8971050288644659,0.7219572058641195,"[0.8956628509723716, 0.8982594932381064]","[0.7189075619224473, 0.7249073242241236]",0.17763045674127106,0.2196479541602852,0.533776178795393,0.7964994693006388,0.6114200673611655,0.7297918887081394,0.8661923205558373,0.6653823860343004,2704498.0,146.2971169948578,2026-09-24T22:11:36
trackA,RF_v2_slope025,all,RF,v2_57_slope025,y_all,v2 random 65/15/20 stratified rs42,,,832154,53682,0.06450969411911738,0.9750530263126306,0.720924570368143,"[0.9747290004618453, 0.9753378431788127]","[0.7173160035914602, 0.7239212113054908]",0.051034614012554436,0.0638630654488691,0.15474014622606094,0.7913440862378992,0.6083272890013735,0.7343057263142208,0.9673976713356421,0.6654062676716097,2704498.0,142.14075541496277,2026-09-24T22:14:37
trackA,RF_v2_slope025,forest,RF,v2_57_slope025,y_all,v2 random 65/15/20 stratified rs42,,,238859,53481,0.22390196726939324,0.8975567811117945,0.7221508739494645,"[0.8961912346422879, 0.8987414714618401]","[0.7191478882625285, 0.7247469367874391]",0.17699038164811065,0.2188459301378494,0.5326750624938367,0.7913440862378992,0.6082076301934567,0.7365793459359399,0.863112127652688,0.6662663847780127,2704498.0,142.14075541496277,2026-09-24T22:14:37
bridge12_A,RF_cdr7,all,RF,cdr7,fire_ever_frac>0,,,,4508,1896,0.42058562555456963,0.9799910224475159,0.9723920660422001,"[0.9760821247156907, 0.9833819592185692]","[0.9671565882732855, 0.9771763314373525]",0.054860956497145015,0.013032892784976848,0.18336329952817654,0.4286341991341991,0.8859429714857429,0.9340717299578059,0.9127105666156202,0.9093709884467266,,,2026-09-24T22:14:52
bridge12_A,RF_cdr7,forest,RF,cdr7,fire_ever_frac>0,,,,2905,1895,0.6523235800344234,0.9501523028292274,0.9728435294339917,"[0.943305937981661, 0.9559747772930327]","[0.968053322126398, 0.9764116125713329]",0.08443433897660117,0.014324367884586364,0.276136896311304,0.4286341991341991,0.8859429714857429,0.9345646437994723,0.7742574257425743,0.9096045197740112,,,2026-09-24T22:14:52
bridge12_A,LogReg_cdr7,all,LogReg,cdr7,fire_ever_frac>0,,,,4508,1896,0.42058562555456963,0.9237086741814798,0.8781081929483622,"[0.9160456688054484, 0.9317959400906882]","[0.8601071888147459, 0.8946974512359391]",0.1084136179151658,0.0800853713515167,0.3936148790251675,0.40969642996788025,0.8461538461538461,0.8354430379746836,0.889739663093415,0.840764331210191,,,2026-09-24T22:14:52
bridge12_A,LogReg_cdr7,forest,LogReg,cdr7,fire_ever_frac>0,,,,2905,1895,0.6523235800344234,0.8739515138848977,0.8977887103201172,"[0.8605221857937773, 0.8875857454478958]","[0.8819394646749181, 0.9146575109017762]",0.1394455543193877,0.08828889713682744,0.4835228794672612,0.3497157394886017,0.8518708354689902,0.8770448548812665,0.7138613861386138,0.8642745709828393,,,2026-09-24T22:14:52
bridge12_A,MaxEnt_cdr7,all,MaxEnt,cdr7,fire_ever_frac>0,,,,4508,1896,0.42058562555456963,0.9584520647966864,0.9515641540796785,"[0.9529869696257455, 0.9645675251880318]","[0.9461224453428486, 0.9583667572805927]",0.10307650651922531,0.1026314731478751,0.4050240687684304,0.060257246886081695,0.8935037273695421,0.8850210970464135,0.9234303215926493,0.8892421833598305,,,2026-09-24T22:14:52
bridge12_A,MaxEnt_cdr7,forest,MaxEnt,cdr7,fire_ever_frac>0,,,,2905,1895,0.6523235800344234,0.9269761488022153,0.9602644869867993,"[0.9184617087698215, 0.9350629522714805]","[0.9544406286934349, 0.9657435310888248]",0.15954867339860626,0.1621080242884187,0.6231508685903304,0.060257246886081695,0.8978063135366506,0.8854881266490765,0.810891089108911,0.8916046758767269,,,2026-09-24T22:14:52
bridge12_A,RF_v2agg,all,RF,v2agg,fire_ever_frac>0,,,,4508,1896,0.42058562555456963,0.9808430418516294,0.9754460405771505,"[0.9772994124811806, 0.9834399089563909]","[0.9707432107335097, 0.9788581731827101]",0.05202351502976027,0.018134626393047495,0.18584487430156346,0.5395416666666667,0.9213903743315508,0.9087552742616034,0.9437212863705973,0.9150292087095061,,,2026-09-24T22:15:26
