year,month,ndvi_mean,lst_day_mean,lst_night_mean,dtr_mean,lst_day_anom_mean,lst_night_anom_mean,dtr_anom_mean,fire_detections,wind_mean,precip_mm_mean,precip_mmh_mean,rh_mean,tair_k_mean,qair_kgkg_mean,lwnet_wm2_mean,soilm_surface_kgm2_mean,soilm_total_kgm2_mean,wind_anom_mean,precip_anom_mean,rh_anom_mean,qair_anom_mean,tair_anom_mean,lwnet_anom_mean,soilm_surface_anom_mean
2003,6,0.32918885350227356,36.750343,22.639753,14.242645,0.7526723146438599,0.4081396758556366,0.3305810987949371,663,5.837361,147.71379,0.20515804,51.077362,301.5324,0.013396088,-83.43123,25.190973,575.8379,0.30189532,-11.76001,-4.955389,-0.0007387064,0.65190953,-6.351632,-2.1871178
2003,7,0.4858880341053009,31.329752,20.43476,11.351002,-0.0762325972318649,-0.1187343373894691,0.2996970415115356,30,5.302667,272.11688,0.36574852,73.626335,298.67307,0.016816098,-54.40955,34.307343,672.1702,-0.37121153,-2.7870502,1.9938711,0.00039025684,-0.23472072,2.2424822,0.7281668
2003,8,0.5448346138000488,29.469454,20.321474,9.433595,-0.2384349703788757,-0.1289778053760528,-0.1210814118385315,4,5.1482224,217.00864,0.29167828,76.39145,298.07513,0.01677931,-51.19573,35.026154,737.2254,-0.05245264,-39.131596,0.4660525,0.00014500994,-0.00495535,-0.035396054,-0.97391605
2003,9,0.5736128687858582,29.69842,19.55333,10.275689,-0.4161509275436401,-0.5865573883056641,0.1847135722637176,14,4.5705934,175.99341,0.2444353,74.33367,297.34607,0.015712164,-53.657303,34.586807,752.1497,0.29968715,-4.2731233,2.1628351,0.00038534173,-0.082655236,2.6158807,-1.1227325
2003,10,0.534496545791626,29.945797,17.305462,12.654332,0.153910681605339,-0.1666683405637741,0.3093851804733276,13,3.658434,99.61923,0.13389683,59.699768,295.64972,0.011571016,-75.111725,32.202923,740.36285,0.17016502,20.106909,0.32427907,-4.9849234e-05,-0.3095846,-1.5590547,0.16843297
2003,11,0.4652703106403351,27.129864,13.780946,13.358733,0.217275932431221,-0.0420590303838253,0.2577179968357086,80,3.6037157,17.172441,0.023850614,50.86172,292.61234,0.008360736,-89.63825,27.213524,690.89453,-0.030597104,-7.734865,-1.223076,-0.00022978334,-0.28629217,-4.1684513,0.4048325
2003,12,0.4342321753501892,23.338535,10.551696,12.76387,0.0013731953222304,0.0576931536197662,-0.0567248985171318,228,3.953747,7.3213525,0.009840527,49.962128,289.68732,0.006712902,-91.96796,22.568565,644.1523,0.079565495,-2.182274,2.8009462,0.00013768535,-0.3285306,0.6991203,0.046361744
2004,1,0.42589038610458374,22.306509,10.003985,12.279995,-0.2431031763553619,0.2790489196777344,-0.5211088061332703,623,3.9224072,14.524036,0.019521555,48.8648,288.8777,0.00626707,-92.07736,21.039206,612.46796,-0.09543343,1.9896059,5.186382,0.0005347612,-0.22859026,4.4381776,0.314089
2004,2,0.4142310619354248,27.822407,12.472551,15.34809,0.9339964389801024,-0.042709082365036,0.978824496269226,2963,4.0151596,8.034092,0.011543236,36.084538,291.6751,0.0054002614,-110.809105,20.226501,587.1523,-0.1995363,-7.40177,-3.2559175,-0.0005246534,-0.25560725,-7.7065477,0.14422958
2004,3,0.3628329336643219,35.168785,17.620407,17.550974,1.9009928703308103,0.9688376784324646,0.93218594789505,19619,4.3944893,9.8334875,0.013217054,27.913784,297.92474,0.0057236087,-125.69119,17.570797,560.7428,0.13543859,-11.195468,-7.31282,-0.00091721764,1.8036038,-14.968703,-1.7375343
2004,4,0.313933402299881,37.52348,20.476736,17.073465,0.129504919052124,0.4646225273609161,-0.3357492387294769,3239,4.750502,53.58602,0.07442503,35.37137,300.62634,0.008542148,-112.189224,20.787697,564.1567,0.26904604,16.831789,0.21502088,0.00038965658,0.5961176,0.071693316,0.3359067
2004,5,0.3184821903705597,37.098633,22.314054,14.85502,-0.6591147184371948,0.2611986398696899,-0.927442729473114,1375,5.3008914,74.72089,0.10043131,43.465588,301.28427,0.011065898,-100.73808,22.25843,576.2053,0.21837802,12.984527,3.2514403,0.00058868417,-0.70305204,3.2931995,0.4315691
2004,6,0.35871437191963196,34.250908,21.074306,13.164003,-1.7071335315704346,-1.1756904125213623,-0.5290057063102722,103,5.9588847,159.40546,0.22139648,57.4279,300.35806,0.014153881,-77.28862,27.284729,616.5275,0.42341843,-0.068338834,1.3951488,1.9085766e-05,-0.522424,-0.20902744,-0.09336365
2004,7,0.4362030029296875,31.864233,19.191906,12.781439,0.0461906604468822,-0.7266841530799866,0.6595970392227173,15,5.407014,239.68887,0.32216245,68.84782,298.91187,0.015692784,-60.772022,32.006535,676.8659,-0.2668648,-35.215084,-2.7846508,-0.0007330572,0.0041013304,-4.119985,-1.5726386
2004,8,0.5410627722740173,29.696444,19.853037,10.145022,-0.0916832759976387,-0.6084370613098145,0.5341569781303406,8,5.7901425,237.81189,0.3196396,76.17868,297.8427,0.016544696,-52.06444,35.344387,745.9269,0.58946776,-18.32835,0.2532862,-8.960391e-05,-0.23735346,-0.9041049,-0.6556821
2004,9,0.548812985420227,30.535082,20.154959,10.440733,0.4871944785118103,-0.0854350849986076,0.5866301655769348,16,3.9481368,143.30733,0.19903795,68.171745,297.63617,0.014661338,-60.236687,33.31239,739.36456,-0.32276914,-36.959206,-3.9990847,-0.000665485,0.20743853,-3.9635024,-2.397146
2004,10,0.5256064534187317,28.605505,15.95167,12.619719,-1.1833548545837402,-1.4776290655136108,0.2754730582237243,70,3.45926,80.72332,0.108499095,59.750706,295.1588,0.011190131,-73.14237,31.991646,727.6807,-0.029008813,1.2109915,0.37522197,-0.00043073398,-0.8004715,0.410292,-0.042844366
2004,11,0.4541989862918854,27.177053,13.455617,13.7217245,0.2648490071296692,-0.3625271022319793,0.626529335975647,189,3.4992826,18.93957,0.026304958,47.35112,293.07553,0.007828993,-89.10724,25.33193,669.4574,-0.13502994,-5.967737,-4.733673,-0.00076152605,0.17689547,-3.6374295,-1.47676
